,tweet_text
8256,"['next', 'life', 'come', 'back', 'ipad', 'woman', 'keep', 'hand', 'thing', 'sxsw']"
6516,"['mention', 'mention', 'best', 'thing', 'heard', 'weekend', 'sxsw', 'quot', 'give', 'ipad', 'money', 'japan', 'relief', 'need', 'ipad', 'quot']"
7256,"['would', 'love', 'meet', 'mention', 'austin', 'convention', 'center', 'today', 'mention', 'fam', 'show', 'new', 'iphone', 'game', 'sxsw']"
2116,"['iphone', 'crash', 'front', 'sxsw', 'apple', 'pop', 'bestworstthingever']"
1545,"['mention', 'mention', 'mention', 'platformer', 'venue', 'sxsw', 'pake', 'app', '4sq', 'api', 'cnth', 'tweetdeck', 'etc', 'via', 'iphone', 'android', 'ipad']"
5683,"['mention', 'forget', 'come', 'amp', 'google', 'mention', 'amp', 'bing', 'mention', 'rank', 'panel', 'mon', '30pm', 'sxsw', 'link']"
7198,"['mention', 'ouch', 'look', 'like', 'might', 'able', 'grab', 'one', 'sxsw', 'temp', 'apple', 'store']"
7494,"['google', 'map', 'usage', 'mobile', 'exceed', 'desktop', 'usage', 'xmas', 'new', 'year', 'day', 'first', 'time', 'marissa', 'mayer', 'sxsw']"
8516,"['mention', 'marissa', 'mayer', 'google', 'map', 'use', 'mobile', 'sxsw', 'link']"
8520,"['mom', 'mention', 'quick', 'apply', 'job', 'mention', 'need', 'help', 'identify', 'bird', 'search', 'sxsw', 'link']"
3769,"['new', 'mention', 'iphone', 'android', 'service', 'fee', 'booyah', 'sxsw', 'gitchococktailon']"
7897,"['mayer', 'map', 'google', 'come', 'location', 'dominance', 'sxsw', 'mention', 'link', 'via', 'mention']"
1433,"['sxsw', '2011', 'google', 'bing', 'smackdown', 'bloody', 'banality', 'guardian', 'link', 'sxsw']"
2058,"['come', 'apple', 'cant', 'spell', 'check', 'without', 'auto', 'correct', 'must', 'nothing', 'grrr', 'sxsw']"
8985,"['apparently', 'google', 'launch', 'major', 'new', 'social', 'network', 'link', 'sxsw', 'circle']"
4995,"['google', 'look', 'launch', 'new', 'social', 'link', 'sxsw']"
3258,"['mention', 'get', 'ready', 'listen', 'sxsw', 'party', 'podcasts', 'link']"
3167,"['mention', 'flight', 'delay', 'austin', 'network', 'google', 'webby', 'award', 'sxsw']"
4175,"['stay', 'alive', 'indie', 'iphone', 'game', 'development', 'survive', 'sxsw', 'mention', 'acc', 'room', '12ab', 'others', 'link']"
1865,"['fuck', 'mac', 'user', 'link', 'sxsw', 'cwebb', 'ipad', 'grant', 'hill']"
3326,"['keynote', 'google', 'sxsw', 'mention', 'austin', 'convention', 'center', '812', 'others', 'pic', 'link']"
2727,"['hmm', 'sxsw', 'com', 'interactive', 'live', 'stream', 'ipad', 'mobile', 'compatible', 'maybe', 'next', 'year', 'sxsw']"
2534,"['mention', 'snag', 'ipad', 'yesterday', 'thought', 'far', 'sxsw']"
6650,"['mention', 'send', 'waaaambulance', 'mention', 'get', 'ipad', 'sxsw', 'yes', 'depress']"
9057,"['mention', 'guy', 'amp', 'give', 'ipad', 'win', 'quot', 'mention', 'cbs', 'scvngr', 'launch', 'spy', 'game', 'sxsw', 'link', 'sxsw', 'quot']"
4787,"['mention', 'new', 'ubersocial', 'iphone', 'app', 'store', 'include', 'uberguide', 'sxsw', 'sponsor', 'mashable', 'link']"
9012,"['apparently', 'ipad', 'iphone', 'app', 'block', 'sxsw', 'tweet']"
219,"['hobo', 'shotgun', 'video', 'game', 'come', 'ipad', 'iphone', 'user', 'yes', 'please', 'link', 'sxsw']"
7948,"['sxsw', 'news', 'mention', 'social', 'important', 'google', 'screw', 'big', 'launch', 'circus', 'link', 'mention']"
8889,"['ummmm', 'awesome', 'party', 'djroe', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxsw']"
